Rank | Ticker | Company Name                             | Market Cap   | Composite Score (Mansfield RS vs SPY)
 367 | BPAC   | Blueport Acquisition Ltd                 | $75.1M       | 53.8385
 368 | CRAI   | CRA International,Inc.                   | $1.03B       | 53.6894
 369 | CPBI   | Central Plains Bancshares, Inc.          | $81.4M       | 53.5404
 370 | AKAM   | Akamai Technologies, Inc.                | $17.67B      | 53.4907
 371 | CAES   | Cantor Equity Partners VII, Inc.         | $320.7M      | 53.4907
 372 | CABR   | Caring Brands, Inc.                      | $12.1M       | 53.4658
 373 | ATNI   | ATN International, Inc.                  | $486.3M      | 53.4410
 374 | AFYA   | Afya Limited - Class A                   | $1.26B       | 53.3913
 375 | ATEC   | Alphatec Holdings, Inc.                  | $1.46B       | 53.3665
 376 | BANR   | Banner Corporation                       | $2.50B       | 53.3665
 377 | DCTH   | Delcath Systems, Inc.                    | N/A          | 53.0932
 378 | BLDP   | Ballard Power Systems, Inc.              | $783.9M      | 52.9193
 379 | CPHC   | Canterbury Park Holding Corporation      | $81.0M       | 52.8944
 380 | CPSH   | CPS Technologies Corp.                   | N/A          | 52.7702
 381 | ALKT   | Alkami Technology, Inc.                  | $2.16B       | 52.7702
 382 | ATTO   | Attovia Therapeutics, Inc.               | $977.2M      | 52.7453
 383 | BUUU   | BUUU Group Limited - Class A Ordinary Sh | $459.9M      | 52.5963
 384 | ABNB   | Airbnb, Inc.                             | $107.36B     | 52.5466
 385 | CLDX   | Celldex Therapeutics, Inc.               | $3.29B       | 52.4969
 386 | CGNT   | Cognyte Software Ltd.                    | $661.4M      | 52.3478
 387 | ANDE   | The Andersons, Inc.                      | $2.34B       | 52.2236
 388 | CLRO   | ClearOne, Inc.                           | $13.2M       | 52.2236
 389 | BCDA   | BioCardia, Inc.                          | $14.0M       | 52.1739
 390 | ALMU   | Aeluma, Inc.                             | $325.5M      | 52.1739
 391 | CHTR   | Charter Communications, Inc.             | $17.19B      | 52.0497
 392 | BSBK   | Bogota Financial Corp.                   | $118.0M      | 51.9255
 393 | CAE    | CAE Inc                                  | $8.73B       | 51.9006
 394 | BSVN   | Bank7 Corp. - Common stock               | $496.2M      | 51.8758
 395 | DGICA  | Donegal Group, Inc.                      | $685.2M      | 51.8012
 396 | CBLL   | CeriBell, Inc.                           | $936.4M      | 51.6770
 397 | CLBK   | Columbia Financial, Inc.                 | $1.22B       | 51.6522
 398 | CWST   | Casella Waste Systems, Inc.              | $5.68B       | 51.6273
 399 | AMSS   | AMASS Brands Inc.                        | $10.9M       | 51.6025
 400 | CALM   | Cal-Maine Foods, Inc.                    | $3.77B       | 51.1056
 401 | BCRX   | BioCryst Pharmaceuticals, Inc.           | $2.54B       | 51.0311
 402 | CCLD   | CareCloud, Inc.                          | $105.0M      | 51.0062
 403 | BFRG   | Bullfrog AI Holdings, Inc.               | $10.3M       | 50.9814
 404 | BBOT   | BridgeBio Oncology Therapeutics, Inc.    | $724.2M      | 50.9068
 405 | AWRE   | Aware, Inc.                              | $25.5M       | 50.7826
 406 | CLPT   | ClearPoint Neuro Inc.                    | $472.8M      | 50.7329
 407 | CYPH   | Cypherpunk Technologies Inc.             | $76.0M       | 50.6584
 408 | CV     | CapsoVision, Inc.                        | $322.6M      | 50.5093
 409 | BOT    | RoboStrategy, Inc.                       | $784.2M      | 50.5093
 410 | CRDL   | Cardiol Therapeutics Inc. - Class A      | $210.3M      | 50.2857
 411 | CVLT   | Commvault Systems, Inc.                  | $5.98B       | 50.2609
 412 | CME    | CME Group Inc.                           | $96.32B      | 50.2360
 413 | CRCT   | Cricut, Inc. - Class A common stock      | $1.15B       | 50.2360
 414 | ALNY   | Alnylam Pharmaceuticals, Inc.            | $30.05B      | 50.2112
 415 | CEG    | Constellation Energy Corporation - Commo | $98.57B      | 50.2112
 416 | CISO   | CISO Global, Inc.                        | $11.4M       | 50.0870
 417 | ALGT   | Allegiant Travel Company                 | $2.30B       | 50.0870
 418 | CELC   | Celcuity Inc.                            | $4.52B       | 50.0124
 419 | CHKP   | Check Point Software Technologies Ltd.   | $12.97B      | 49.9876
 420 | AMPH   | Amphastar Pharmaceuticals, Inc.          | $887.3M      | 49.9627
 421 | AMPG   | Amplitech Group, Inc.                    | $111.2M      | 49.7640
 422 | DIOD   | Diodes Incorporated                      | $4.95B       | 49.6646
 423 | CGNX   | Cognex Corporation                       | $11.20B      | 49.6646
 424 | CASH   | Pathward Financial, Inc.                 | $1.77B       | 49.6398
 425 | CTMX   | CytomX Therapeutics, Inc.                | $751.8M      | 49.5404
 426 | DCGO   | DocGo Inc.                               | $70.1M       | 49.5155
 427 | CNXU   | Conexeu Sciences Inc.                    | $261.7M      | 49.5155
 428 | ACNT   | Ascent Industries Co.                    | $136.3M      | 49.4658
 429 | CTKB   | Cytek Biosciences, Inc.                  | $616.1M      | 49.3913
 430 | AARD   | Aardvark Therapeutics, Inc.              | $147.5M      | 49.3168
 431 | APXT   | Apex Treasury Corporation - Class A Ordi | $464.7M      | 49.2671
 432 | AUPH   | Aurinia Pharmaceuticals Inc              | $2.03B       | 49.1429
 433 | CULP   | Culp, Inc.                               | $42.4M       | 49.0435
 434 | ALDX   | Aldeyra Therapeutics, Inc.               | $94.1M       | 49.0435
 435 | BYFC   | Broadway Financial Corporation           | $107.2M      | 49.0435
 436 | BRID   | Bridgford Foods Corporation              | $57.7M       | 49.0186
 437 | COLB   | Columbia Banking System, Inc.            | $9.15B       | 48.9193
 438 | BGC    | BGC Group, Inc.                          | $5.31B       | 48.8696
 439 | BMRN   | BioMarin Pharmaceutical Inc.             | $12.90B      | 48.8447
 440 | CAAS   | China Automotive Systems, Inc. - Ordinar | $138.0M      | 48.7950
 441 | APEI   | American Public Education, Inc.          | $810.9M      | 48.6708
 442 | CGEN   | Compugen Ltd.                            | $222.6M      | 48.5714
 443 | CDNS   | Cadence Design Systems, Inc.             | $89.08B      | 48.5714
 444 | ARBB   | ARB IOT Group Limited                    | $7.5M        | 48.5466
 445 | AVO    | Mission Produce, Inc.                    | $1.14B       | 48.5466
 446 | CLRB   | Cellectar Biosciences, Inc.              | $20.5M       | 48.4969
 447 | CNTN   | Canton Strategic Holdings, Inc.          | $161.4M      | 48.2733
 448 | AENT   | Alliance Entertainment Holding Corporati | $278.2M      | 47.8758
 449 | AGCC   | Agencia Comercial Spirits Ltd - Class A  | $326.5M      | 47.8509
 450 | CODX   | Co-Diagnostics, Inc.                     | $4.9M        | 47.8261
 451 | CENN   | Cenntro Inc.                             | $8.6M        | 47.6770
 452 | META   | Meta Platforms, Inc.                     | $1449.45B    | 47.6770
 453 | AAL    | American Airlines Group, Inc.            | $9.55B       | 47.6273
 454 | CRVL   | CorVel Corp.                             | $3.38B       | 47.5280
 455 | AIMD   | Ainos, Inc.                              | $10.5M       | 47.4286
 456 | BCBP   | BCB Bancorp, Inc. (NJ)                   | $161.8M      | 47.3789
 457 | BTOC   | Armlogi Holding Corp. - common stock     | $12.3M       | 47.3540
 458 | ALTI   | AlTi Global, Inc.                        | $459.1M      | 47.0807
 459 | DERM   | Journey Medical Corporation              | $177.9M      | 46.7578
 460 | BRR    | ProCap Financial, Inc.                   | $160.8M      | 46.7329
 461 | CLAR   | Clarus Corporation                       | $139.0M      | 46.6584
 462 | CTSO   | Cytosorbents Corporation                 | $23.7M       | 46.5839
 463 | ASTL   | Algoma Steel Group Inc.                  | $439.6M      | 46.5093
 464 | CEPF   | Cantor Equity Partners IV, Inc.          | $591.5M      | 46.5093
 465 | CMCSA  | Comcast Corporation                      | $90.74B      | 46.4348
 466 | ACRV   | Acrivon Therapeutics, Inc.               | $87.7M       | 46.4099
 467 | AAON   | AAON, Inc.                               | $7.26B       | 46.2609
 468 | ARVN   | Arvinas, Inc.                            | $593.6M      | 46.2609
 469 | CALC   | CalciMedica, Inc.                        | $20.4M       | 46.1366
 470 | CLSK   | CleanSpark, Inc.                         | $3.18B       | 46.1118
 471 | BLIN   | Bridgeline Digital, Inc.                 | $12.6M       | 46.1118
 472 | CENT   | Central Garden & Pet Company             | $2.71B       | 46.0124
 473 | CHDN   | Churchill Downs, Incorporated            | $6.25B       | 45.9130
 474 | ANY    | Sphere 3D Corp.                          | $18.1M       | 45.8634
 475 | API    | Agora, Inc. - ADS                        | $372.0M      | 45.8137
 476 | AISP   | Airship AI Holdings, Inc                 | $69.6M       | 45.7888
 477 | CSGP   | CoStar Group, Inc.                       | $12.70B      | 45.5901
 478 | COIN   | Coinbase Global, Inc.                    | $39.72B      | 45.5404
 479 | AVLN   | Avalyn Pharma Inc. - common stock        | $1.70B       | 45.5404
 480 | AOSL   | Alpha and Omega Semiconductor Limited    | $929.9M      | 45.5155
 481 | CLGN   | CollPlant Biotechnologies Ltd.           | $6.0M        | 45.4161
 482 | BWMN   | Bowman Consulting Group Ltd.             | $734.4M      | 45.2422
 483 | CNSP   | CNS Pharmaceuticals, Inc.                | $7.9M        | 45.1925
 484 | CUB    | Lionheart Holdings                       | N/A          | 45.1429
 485 | AIFF   | Firefly Neuroscience, Inc.               | $17.7M       | 45.0435
 486 | AUBN   | Auburn National Bancorporation, Inc.     | $91.5M       | 44.8696
 487 | ADSK   | Autodesk, Inc.                           | $51.02B      | 44.8447
 488 | ASO    | Academy Sports and Outdoors, Inc.        | $2.86B       | 44.8199
 489 | APUR   | Aperture AC                              | $146.9M      | 44.7950
 490 | BOSC   | B.O.S. Better Online Solutions           | $32.4M       | 44.7702
 491 | AURA   | Aura Biosciences, Inc.                   | $794.4M      | 44.7453
 492 | AQMS   | Aqua Metals, Inc.                        | $9.6M        | 44.7453
 493 | CHNR   | China Natural Resources, Inc.            | $5.2M        | 44.6708
 494 | ASPI   | ASP Isotopes Inc.                        | $616.3M      | 44.4969
 495 | COLM   | Columbia Sportswear Company              | $2.92B       | 44.4720
 496 | CDW    | CDW Corporation                          | $16.91B      | 44.3230
 497 | APC    | ARKO Petroleum Corp.                     | $927.6M      | 44.2981
 498 | ATRA   | Atara Biotherapeutics, Inc.              | $75.3M       | 44.0994
 499 | BL     | BlackLine, Inc.                          | $1.70B       | 44.0248
 500 | AUC    | ATIF Holdings Limited                    | $72.0M       | 44.0248
 501 | GOOGL  | Alphabet Inc.                            | $4207.10B    | 43.9255
 502 | BRLS   | Borealis Foods Inc. - Class A            | $18.7M       | 43.7516
 503 | AZIO   | Azio AI Holdings, Inc. - Common stock    | $21.1M       | 43.7516
 504 | DGXX   | Digi Power X Inc. - Common Subordinate V | $382.4M      | 43.7019
 505 | AFJK   | Aimei Health Technology Co., Ltd - Ordin | $38.0M       | 43.5776
 506 | BRLT   | Brilliant Earth Group, Inc.              | $20.6M       | 43.4783
 507 | BEEM   | Beam Global                              | $25.3M       | 43.4286
 508 | CTRM   | Castor Maritime Inc.                     | $22.5M       | 43.4037
 509 | GOOG   | Alphabet Inc.                            | $4175.91B    | 43.3043
 510 | CAI    | Caris Life Sciences, Inc.                | $6.11B       | 43.3043
 511 | CRNT   | Ceragon Networks Ltd.                    | $198.1M      | 42.9565
 512 | CNDT   | Conduent Incorporated                    | $227.1M      | 42.9068
 513 | AIRO   | AIRO Group Holdings, Inc.                | $296.9M      | 42.8820
 514 | CTXR   | Citius Pharmaceuticals, Inc.             | $15.4M       | 42.6087
 515 | ASST   | Strive, Inc.                             | $1.14B       | 42.3106
 516 | BNGO   | Bionano Genomics, Inc.                   | $14.0M       | 42.2609
 517 | BULL   | Webull Corporation                       | $4.34B       | 42.2112
 518 | ACIU   | AC Immune SA                             | $257.5M      | 42.0870
 519 | ATHR   | Aether Holdings, Inc.                    | $44.1M       | 41.9379
 520 | ASPS   | Altisource Portfolio Solutions S.A.      | $61.9M       | 41.7888
 521 | AEC    | Anfield Energy Inc.                      | $90.4M       | 41.6894
 522 | CBIO   | Crescent Biopharma, Inc.                 | $649.3M      | 41.6894
 523 | AMTX   | Aemetis, Inc                             | $129.9M      | 41.6398
 524 | BZFD   | BuzzFeed, Inc.                           | $92.5M       | 41.6149
 525 | BATRK  | Atlanta Braves Holdings, Inc. - Series C | $3.38B       | 41.5901
 526 | ASMB   | Assembly Biosciences, Inc.               | $611.0M      | 41.5901
 527 | CSBR   | Champions Oncology, Inc.                 | $69.9M       | 41.5652
 528 | CEVA   | CEVA, Inc.                               | $920.9M      | 41.5652
 529 | AQST   | Aquestive Therapeutics, Inc.             | $538.3M      | 41.3416
 530 | SPY    | SPY                                      | N/A          | 41.2671
 531 | BLNK   | Blink Charging Co.                       | $84.4M       | 41.2671
 532 | DBCA   | D. Boral Acquisition I Corp.             | $432.3M      | 41.2174
 533 | BCAR   | D. Boral ARC Acquisition I Corp.         | $239.8M      | 41.1180
 534 | BATRA  | Atlanta Braves Holdings, Inc. - Series A | $3.60B       | 41.0932
 535 | BTCS   | BTCS Inc.                                | $55.7M       | 40.9938
 536 | AIIO   | Robo.ai Inc.                             | $486.9M      | 40.9441
 537 | CZWI   | Citizens Community Bancorp, Inc.         | $201.9M      | 40.8944
 538 | DGNX   | Diginex Limited                          | $35.2M       | 40.8944
 539 | DAKT   | Daktronics, Inc.                         | $963.2M      | 40.8199
 540 | CMTL   | Comtech Telecommunications Corp.         | $50.0M       | 40.7702
 541 | COCH   | Envoy Medical, Inc.                      | $56.7M       | 40.5963
 542 | ANIP   | ANI Pharmaceuticals, Inc.                | $1.75B       | 40.5714
 543 | AIRG   | Airgain, Inc.                            | $70.9M       | 40.5466
 544 | ARCL   | ARC Group Acquisition I Corp             | $178.6M      | 40.4720
 545 | DCOY   | Decoy Therapeutics Inc.                  | $2.3M        | 40.1988
 546 | BGMS   | Bio Green Med Solution, Inc.             | $5.0M        | 40.1491
 547 | AVAV   | AeroVironment, Inc.                      | $9.21B       | 40.0994
 548 | CENX   | Century Aluminum Company                 | $4.66B       | 40.0994
 549 | AGNT   | AGNT, Inc.                               | $710.3M      | 40.0745
 550 | CLIK   | Click Holdings Limited - Ordinary Share  | $11.9M       | 40.0745
 551 | ATPC   | Agape ATP Corporation                    | $2.5M        | 40.0000
 552 | CNCK   | Coincheck Group N.V.                     | $383.0M      | 39.9255
 553 | ANNA   | AleAnna, Inc.                            | $111.8M      | 39.7267
 554 | CGC    | Canopy Growth Corporation                | $449.3M      | 39.5280
 555 | AESP   | Aeon Acquisition I Corp.                 | $206.7M      | 39.3789
 556 | CPRT   | Copart, Inc.                             | $29.35B      | 39.3292
 557 | CRON   | Cronos Group Inc. - Common Share         | $1.16B       | 39.0807
 558 | ALDF   | Aldel Financial II Inc.                  | $321.7M      | 39.0559
 559 | BAFN   | BayFirst Financial Corp.                 | $164.5M      | 39.0559
 560 | ARBE   | Arbe Robotics Ltd.                       | $99.7M       | 38.8323
 561 | CRNC   | Cerence Inc.                             | $385.4M      | 38.8323
 562 | CHGA   | Change Agents Corporation                | $3.8M        | 38.7081
 563 | AZ     | A2Z Cust2Mate Solutions Corp.            | $320.5M      | 38.6584
 564 | DCX    | Digital Currency X Technology Inc.       | $334.3M      | 38.6335
 565 | COSM   | Cosmos Health Inc.                       | $12.7M       | 38.5342
 566 | BMR    | Beamr Imaging Ltd. - Ordinary Share      | $20.0M       | 38.3106
 567 | CMII   | Columbus Circle Capital Corp II          | $313.9M      | 38.1366
 568 | DDI    | DoubleDown Interactive Co., Ltd.         | $617.2M      | 38.0373
 569 | BLIV   | BeLive Holdings - ordinary shares        | $25.0M       | 37.9130
 570 | CRUS   | Cirrus Logic, Inc.                       | $6.01B       | 37.6646
 571 | ALGS   | Aligos Therapeutics, Inc. - Common stock | $41.1M       | 37.4161
 572 | BNC    | CEA Industries Inc.                      | $104.6M      | 37.3665
 573 | CURX   | Curanex Pharmaceuticals Inc              | $6.0M        | 37.0683
 574 | ABTS   | Abits Group Inc                          | $3.9M        | 36.9689
 575 | ALEC   | Alector, Inc.                            | $228.9M      | 36.9689
 576 | BIYA   | Baiya International Group Inc.           | $75.2M       | 36.9441
 577 | CYCU   | Cycurion, Inc.                           | $8.4M        | 36.6708
 578 | ARTW   | Art's-Way Manufacturing Co., Inc.        | $16.7M       | 36.6460
 579 | AFCG   | Advanced Flower Capital Inc.             | $79.1M       | 36.5714
 580 | CRBP   | Corbus Pharmaceuticals Holdings, Inc.    | $202.9M      | 36.5466
 581 | ALCO   | Alico, Inc.                              | $289.8M      | 36.4720
 582 | AHCO   | AdaptHealth Corp.                        | $775.1M      | 36.4224
 583 | CSWC   | Capital Southwest Corporation            | $1.57B       | 36.3230
 584 | CRE    | Cre8 Enterprise Limited                  | $5.6M        | 36.1988
 585 | BZ     | KANZHUN LIMITED                          | $6.95B       | 36.1242
 586 | BNKK   | Bonk, Inc.                               | $7.8M        | 36.0745
 587 | COYA   | Coya Therapeutics, Inc.                  | $109.5M      | 35.7764
 588 | BXBL   | BOXABL, Inc.  - Common stock             | $1.52B       | 35.7019
 589 | BLLN   | BillionToOne, Inc. - Class A common stoc | $4.43B       | 35.7019
 590 | BTBT   | Bit Digital, Inc. - Ordinary Share       | $558.3M      | 35.7019
 591 | ABEO   | Abeona Therapeutics Inc.                 | $338.6M      | 35.6025
 592 | BRAG   | Bragg Gaming Group Inc.                  | $45.0M       | 35.4783
 593 | AEYE   | AudioEye, Inc.                           | $103.8M      | 35.4534
 594 | AIFC   | AI Financial Corporation                 | $59.2M       | 35.3540
 595 | CRWS   | Crown Crafts, Inc.                       | $31.7M       | 35.2298
 596 | ARKR   | Ark Restaurants Corp.                    | $20.2M       | 35.1304
 597 | AMOD   | Alpha Modus Holdings, Inc.               | $21.6M       | 35.0559
 598 | AEHL   | Antelope Enterprise Holdings Limited     | $5.8M        | 34.8571
 599 | BHF    | Brighthouse Financial, Inc.              | $3.21B       | 34.8571
 600 | CRTO   | Criteo S.A.                              | $895.4M      | 34.8571
 601 | BKYI   | BIO-key International, Inc.              | $3.4M        | 34.7826
 602 | CSPI   | CSP Inc.                                 | $79.6M       | 34.6584
 603 | BSP    | Bending Spoons S.p.A.                    | $24.46B      | 34.6087
 604 | ACET   | Adicet Bio, Inc.                         | $81.8M       | 34.5590
 605 | CRSP   | CRISPR Therapeutics AG                   | $5.25B       | 34.3851
 606 | CNTY   | Century Casinos, Inc.                    | $35.6M       | 34.3106
 607 | COOT   | Australian Oilseeds Holdings Limited     | $13.2M       | 34.1366
 608 | ACON   | Aclarion, Inc.                           | $8.0M        | 34.1366
 609 | CNEY   | CN Energy Group Inc.                     | N/A          | 34.0621
 610 | APYX   | Apyx Medical Corporation                 | $128.9M      | 33.8634
 611 | AMSC   | American Superconductor Corporation      | $1.56B       | 33.7391
 612 | CSHR   | CoinShares PLC                           | $701.1M      | 33.7391
 613 | ADMA   | ADMA Biologics Inc                       | $2.09B       | 33.7143
 614 | CLIR   | ClearSign Technologies Corporation       | $31.0M       | 33.7143
 615 | BLBD   | Blue Bird Corporation                    | $2.02B       | 33.5901
 616 | CYAB   | Cyabra, Inc.                             | $5.6M        | 33.5652
 617 | CIRC   | Circle8 Group, Inc.                      | $59.3M       | 33.4161
 618 | CMPX   | Compass Therapeutics, Inc.               | $416.0M      | 33.3913
 619 | BGM    | BGM Group Ltd.                           | $108.8M      | 33.3168
 620 | BOXL   | Boxlight Corporation                     | $4.8M        | 32.8199
 621 | AAME   | Atlantic American Corporation            | $29.0M       | 32.7950
 622 | AVXL   | Anavex Life Sciences Corp.               | $297.6M      | 32.7950
 623 | CG     | The Carlyle Group Inc.                   | $17.30B      | 32.7205
 624 | CNVS   | Cineverse Corp.                          | $65.1M       | 32.6460
 625 | ABAT   | American Battery Technology Company      | $331.5M      | 32.6211
 626 | CURI   | CuriosityStream Inc.                     | $175.0M      | 32.5963
 627 | ATER   | Aterian, Inc.                            | $5.0M        | 32.3230
 628 | AIOS   | AIOS Tech Inc. - Class A                 | $46.2M       | 32.1491
 629 | NVDA   | NVIDIA Corporation                       | $5449.97B    | 32.0994
 630 | AVAT   | Avalanche Treasury Corporation           | $17.5M       | 32.0994
 631 | CREX   | Creative Realities, Inc.                 | $41.3M       | 31.9255
 632 | CELH   | Celsius Holdings, Inc.                   | $7.58B       | 31.8758
 633 | AEI    | Alset Inc.                               | $58.3M       | 31.8261
 634 | ACDC   | ProFrac Holding Corp.                    | $961.6M      | 31.5776
 635 | CDLX   | Cardlytics, Inc.                         | $23.8M       | 31.5280
 636 | DH     | Definitive Healthcare Corp.              | $68.3M       | 31.4783
 637 | ARQ    | Arq, Inc.                                | $100.9M      | 31.4534
 638 | CDZI   | Cadiz, Inc.                              | $271.0M      | 31.4534
 639 | ANPA   | Rich Sparkle Holdings Limited            | $64.2M       | 31.4286
 640 | AIFA   | All In FutureTech Alliance, Inc.         | $19.4M       | 31.3540
 641 | CCB    | Coastal Financial Corporation            | $748.1M      | 31.2795
 642 | AIXC   | AIxCrypto Holdings, Inc.                 | $14.4M       | 31.2298
 643 | DEFT   | Defi Technologies, Inc.                  | $180.5M      | 31.2298
 644 | ARAI   | Arrive AI Inc.                           | $12.9M       | 31.1553
 645 | CBRS   | Cerebras Systems Inc.                    | $59.86B      | 31.0807
 646 | BDMD   | Baird Medical Investment Holdings Ltd -  | $36.5M       | 31.0311
 647 | CNTB   | Connect Biopharma Holdings Limited       | $156.8M      | 30.9565
 648 | BTOG   | Bit Origin Limited                       | $2.2M        | 30.9317
 649 | BMRA   | Biomerica, Inc.                          | $4.8M        | 30.8571
 650 | CWCO   | Consolidated Water Co. Ltd.              | $481.2M      | 30.8323
 651 | CNL    | Collective Mining Ltd.                   | $1.33B       | 30.7826
 652 | CUPR   | Cuprina Holdings (Cayman) Limited - Clas | $7.8M        | 30.5093
 653 | CHCI   | Comstock Holding Companies, Inc.         | $192.6M      | 30.4099
 654 | CCCT   | Columbus Circle Capital Corp III         | $308.6M      | 30.3354
 655 | CISS   | C3is Inc.                                | $88,105      | 30.2857
 656 | BMEA   | Biomea Fusion, Inc.                      | $97.6M       | 30.2112
 657 | AURE   | Aurelion Inc.                            | $64.3M       | 30.0373
 658 | CVKD   | Cadrenal Therapeutics, Inc.              | $6.3M        | 29.9130
 659 | CELU   | Celularity Inc.                          | $20.1M       | 29.7143
 660 | DFLI   | Dragonfly Energy Holdings Corp           | $18.9M       | 29.5404
 661 | ASTE   | Astec Industries, Inc.                   | $994.4M      | 29.5155
 662 | UUUU   | Energy Fuels Inc Ordinary Shares (Canada | $3.70B       | 29.4410
 663 | ABLV   | Able View Global Inc.                    | $36.1M       | 29.3416
 664 | CRVO   | CervoMed Inc.                            | $35.3M       | 29.1925
 665 | CHAI   | Core AI Holdings, Inc.                   | $7.3M        | 29.1677
 666 | TSLA   | Tesla, Inc.                              | $1340.08B    | 28.9938
 667 | ARCLR  | ARC Group Acquisition I Corp - Right     | N/A          | 28.8944
 668 | BCAB   | BioAtla, Inc.                            | $5.1M        | 28.7702
 669 | AGRZ   | Agroz Inc.                               | $5.8M        | 28.6211
 670 | BMM    | Blue Moon Metals Inc.                    | $535.8M      | 28.4472
 671 | DETX   | Liberty Defense Holdings, Ltd.           | $20.6M       | 28.4224
 672 | CEPS   | Cantor Equity Partners VI, Inc.          | $152.6M      | 28.3230
 673 | BHST   | BioHarvest Sciences Inc.                 | $49.2M       | 28.2236
 674 | ACIC   | American Coastal Insurance Corporation   | $446.7M      | 28.1739
 675 | ASLE   | AerSale Corporation                      | $281.6M      | 28.1739
 676 | CRMT   | America's Car-Mart, Inc.                 | $27.2M       | 28.0994
 677 | CNSY   | Cerenome, Inc.                           | $22.0M       | 28.0745
 678 | BIOX   | Bioceres Crop Solutions Corp.            | $27.9M       | 27.9752
 679 | CAST   | FreeCast, Inc. - Class A common stock    | $40.9M       | 27.8509
 680 | CHEC   | Chenghe Acquisition III Co.              | $176.9M      | 27.7764
 681 | ALOV   | Aldabra 4 Liquidity Opportunity Vehicle, | $373.7M      | 27.7516
 682 | CCAP   | Crescent Capital BDC, Inc.               | $398.7M      | 27.7019
 683 | CDIO   | Cardio Diagnostics Holdings Inc. - Commo | $5.9M        | 27.4037
 684 | ADTN   | ADTRAN Holdings, Inc.                    | $705.2M      | 27.3540
 685 | ARTL   | Artelo Biosciences, Inc.                 | $3.3M        | 27.1801
 686 | ACB    | Aurora Cannabis Inc.                     | $223.0M      | 26.8571
 687 | BCG    | Binah Capital Group, Inc.                | $26.6M       | 26.7578
 688 | CHRS   | Coherus Oncology, Inc.                   | $177.7M      | 26.7578
 689 | CRBU   | Caribou Biosciences, Inc.                | $168.3M      | 26.7081
 690 | AIAI   | AIAI Holdings Corporation - Class A comm | $352.3M      | 26.6832
 691 | ABVC   | ABVC BioPharma, Inc.                     | $22.1M       | 26.6584
 692 | CDXS   | Codexis, Inc.                            | $174.1M      | 26.5590
 693 | CGTX   | Cognition Therapeutics, Inc.             | $97.0M       | 26.4099
 694 | CLNE   | Clean Energy Fuels Corp.                 | $364.8M      | 26.2360
 695 | ATYR   | aTyr Pharma, Inc.                        | $50.9M       | 26.1615
 696 | BTDR   | Bitdeer Technologies Group               | $2.55B       | 26.1366
 697 | BBSI   | Barrett Business Services, Inc.          | $759.3M      | 25.7391
 698 | AVX    | Avax One Technology Ltd.                 | $22.8M       | 25.7143
 699 | CLNN   | Clene Inc.                               | $54.0M       | 25.3416
 700 | CTNT   | Cheetah Net Supply Chain Service Inc.    | $5.1M        | 24.9938
 701 | BRNX   | BrenX Ltd.                               | $2.2M        | 24.9689
 702 | CRML   | Critical Metals Corp.                    | $965.1M      | 24.8944
 703 | ADV    | Advantage Solutions Inc.                 | $401.8M      | 24.4472
 704 | BLNE   | Beeline Holdings, Inc.                   | $32.2M       | 24.3230
 705 | AIDX   | 20/20 Biolabs, Inc.                      | $6.7M        | 24.2484
 706 | BMBL   | Bumble Inc. - common stock               | $343.1M      | 24.2484
 707 | CXDO   | Crexendo, Inc.                           | $217.8M      | 24.2484
 708 | BDTX   | Black Diamond Therapeutics, Inc.         | $117.8M      | 23.9255
 709 | CYN    | Cyngn Inc. - Common stock                | $15.3M       | 23.5031
 710 | BENF   | Beneficient                              | $32.9M       | 23.5031
 711 | ARRY   | Array Technologies, Inc.                 | $766.1M      | 23.4783
 712 | ANTA   | Antalpha Platform Holding Company        | $92.9M       | 23.3540
 713 | AMSF   | AMERISAFE, Inc.                          | $489.5M      | 23.2547
 714 | CBAT   | CBAK Energy Technology Limited           | $64.9M       | 23.0559
 715 | AGMH   | AGM Group Holdings Inc.                  | $2.2M        | 23.0559
 716 | CLFD   | Clearfield, Inc.                         | $400.2M      | 23.0559
 717 | AIRE   | reAlpha Tech Corp.                       | $8.6M        | 22.9814
 718 | ATCX   | Atlas Critical Minerals Corporation      | $18.8M       | 22.9814
 719 | CRMD   | CorMedix Inc.                            | $601.7M      | 22.7826
 720 | CRWV   | CoreWeave, Inc.                          | $58.46B      | 22.7578
 721 | CHSN   | Chanson International Holding            | $2.6M        | 22.6832
 722 | BGL    | Blue Gold Limited - Class A ordinary sha | $8.6M        | 22.6584
 723 | CMND   | Clearmind Medicine Inc.                  | $2.8M        | 22.6335
 724 | ARCT   | Arcturus Therapeutics Holdings Inc.      | $231.4M      | 22.5590
 725 | BETR   | Better Home & Finance Holding Company    | $257.2M      | 22.5093
 726 | APRE   | Aprea Therapeutics, Inc.                 | $8.7M        | 22.5093
 727 | AXG    | Solowin Holdings - Class A Ordinary Shar | $511.7M      | 22.2609
 728 | COCP   | Cocrystal Pharma, Inc.                   | $21.0M       | 21.8882
 729 | BYRN   | Byrna Technologies, Inc.                 | $90.3M       | 21.6646
 730 | ACTU   | Actuate Therapeutics, Inc. - Common stoc | $23.8M       | 21.4907
 731 | BIRD   | Smartbird, Inc.                          | $21.8M       | 21.4907
 732 | AAPG   | Ascentage Pharma Group International     | $1.70B       | 21.3665
 733 | AIIR   | Air Global PLC - Ordinary shares         | $1.23B       | 21.2919
