Rank | Ticker | Company Name                             | Market Cap   | Composite Score (Mansfield RS vs SPY)
  84 | BHRB   | Burke & Herbert Financial Services Corp. | $1.46B       | 76.4969
  85 | AIP    | Arteris, Inc.                            | $1.37B       | 76.3230
  86 | ADIL   | Adial Pharmaceuticals, Inc               | $13.1M       | 76.1739
  87 | BOOM   | DMC Global Inc.                          | $149.9M      | 76.1739
  88 | CCXI   | Churchill Capital Corp XI                | $958.0M      | 76.1491
  89 | CYRX   | CryoPort, Inc.                           | $775.9M      | 76.0994
  90 | COKE   | Coca-Cola Consolidated, Inc.             | $12.39B      | 76.0248
  91 | BFST   | Business First Bancshares, Inc.          | $1.05B       | 76.0248
  92 | BSET   | Bassett Furniture Industries, Incorporat | $164.5M      | 75.8012
  93 | ADPT   | Adaptive Biotechnologies Corporation     | $3.95B       | 75.6273
  94 | BIOA   | BioAge Labs, Inc.                        | $477.3M      | 75.4534
  95 | BWIN   | The Baldwin Insurance Group, Inc.        | $2.98B       | 75.3540
  96 | ALRS   | Alerus Financial Corporation             | $834.0M      | 75.3043
  97 | BTQ    | BTQ Technologies Corp.                   | $566.3M      | 75.2795
  98 | CTBI   | Community Trust Bancorp, Inc.            | $1.43B       | 75.2795
  99 | AAPL   | Apple Inc.                               | $4459.84B    | 75.2050
 100 | COGT   | Cogent Biosciences, Inc.                 | $6.57B       | 75.1553
 101 | CAKE   | The Cheesecake Factory Incorporated      | $5.43B       | 75.1304
 102 | BEAM   | Beam Therapeutics Inc.                   | $2.80B       | 74.8820
 103 | CSTL   | Castle Biosciences, Inc. - Common stock  | $915.0M      | 74.8075
 104 | ATAI   | AtaiBeckley Inc.                         | $2.69B       | 74.8075
 105 | CAC    | Camden National Corporation              | $986.4M      | 74.7826
 106 | AMRX   | Amneal Pharmaceuticals, Inc.             | $6.42B       | 74.2857
 107 | ALRM   | Alarm.com Holdings, Inc.                 | $2.70B       | 73.9876
 108 | BAND   | Bandwidth Inc.                           | $1.70B       | 73.9379
 109 | ANIX   | Anixa Biosciences, Inc.                  | $118.7M      | 73.8137
 110 | AMKR   | Amkor Technology, Inc.                   | $15.23B      | 73.4410
 111 | ASBP   | Aspire Biopharma Holdings, Inc.          | $10.0M       | 73.3168
 112 | ATLO   | Ames National Corporation                | $282.4M      | 73.2671
 113 | ADI    | Analog Devices, Inc.                     | $190.10B     | 73.1677
 114 | ACGL   | Arch Capital Group Ltd.                  | $33.38B      | 73.0435
 115 | BCAX   | Bicara Therapeutics Inc.                 | $1.64B       | 72.9441
 116 | APPF   | AppFolio, Inc.                           | $6.94B       | 72.7702
 117 | BOKF   | BOK Financial Corporation                | $8.85B       | 72.5217
 118 | ANTX   | AN2 Therapeutics, Inc.                   | $216.2M      | 72.4720
 119 | BIIB   | Biogen Inc.                              | $30.90B      | 72.4720
 120 | COFS   | ChoiceOne Financial Services, Inc.       | $511.0M      | 72.4720
 121 | ASML   | ASML Holding N.V. - New York Registry Sh | $723.31B     | 72.4472
 122 | CASY   | Caseys General Stores, Inc.              | $32.19B      | 72.4472
 123 | CBNK   | Capital Bancorp, Inc.                    | $613.5M      | 72.2733
 124 | CTRN   | Citi Trends, Inc.                        | $605.3M      | 72.2733
 125 | AGEN   | Agenus Inc.                              | $321.8M      | 72.2484
 126 | CDNA   | CareDx, Inc.                             | $2.40B       | 72.1491
 127 | AZTA   | Azenta, Inc.                             | $1.47B       | 72.0248
 128 | ALM    | Almonty Industries Inc.                  | $4.72B       | 71.8261
 129 | ALGM   | Allegro MicroSystems, Inc.               | $8.25B       | 71.7764
 130 | BCML   | BayCom Corp                              | $334.2M      | 71.7516
 131 | ARQQ   | Arqit Quantum Inc.                       | $423.7M      | 71.7019
 132 | AMLX   | Amylyx Pharmaceuticals, Inc.             | $2.39B       | 71.6522
 133 | ATEX   | Anterix Inc.                             | $1.79B       | 71.6273
 134 | ABUS   | Arbutus Biopharma Corporation            | $930.4M      | 71.4286
 135 | ANNX   | Annexon, Inc. - common stock             | $840.5M      | 71.3540
 136 | ASTS   | AST SpaceMobile, Inc.                    | $21.33B      | 71.3043
 137 | AEHR   | Aehr Test Systems                        | $4.75B       | 71.3043
 138 | APGE   | Apogee Therapeutics, Inc.                | $10.19B      | 71.2795
 139 | CHCO   | City Holding Company                     | $2.05B       | 71.1553
 140 | CMPR   | Cimpress plc                             | $2.23B       | 71.1553
 141 | CJMB   | Callan JMB Inc.                          | $15.1M       | 70.9814
 142 | CGON   | CG Oncology, Inc. - Common stock         | $6.84B       | 70.9317
 143 | BRKR   | Bruker Corporation                       | $8.79B       | 70.8571
 144 | APAC   | StoneBridge Acquisition II Corporation   | $82.2M       | 70.8075
 145 | CCBG   | Capital City Bank Group                  | $889.4M      | 70.5839
 146 | BBIO   | BridgeBio Pharma, Inc.                   | $15.62B      | 70.4845
 147 | AVT    | Avnet, Inc.                              | $8.09B       | 70.4596
 148 | AVPT   | AvePoint, Inc.                           | $2.80B       | 70.4099
 149 | ALLO   | Allogene Therapeutics, Inc.              | $717.9M      | 70.3106
 150 | AVR    | Anteris Technologies Global Corp.        | $918.1M      | 69.9876
 151 | AVIR   | Atea Pharmaceuticals, Inc. - common stoc | $417.7M      | 69.9876
 152 | DBGI   | Digital Brands Group, Inc.               | $7.9M        | 69.9627
 153 | CURR   | Currenc Group Inc.                       | $433.4M      | 69.7640
 154 | AFRM   | Affirm Holdings, Inc.                    | $24.96B      | 69.4907
 155 | ALGN   | Align Technology, Inc.                   | $12.16B      | 69.3416
 156 | ASND   | Ascendis Pharma A/S - Ordinary Share     | $16.23B      | 69.2919
 157 | CFFN   | Capitol Federal Financial, Inc.          | $1.08B       | 69.2671
 158 | ACHV   | Achieve Life Sciences, Inc.              | $771.8M      | 69.1925
 159 | BOLD   | Boundless Bio, Inc.                      | $64.4M       | 69.1429
 160 | CSX    | CSX Corporation                          | $93.70B      | 69.0186
 161 | CLST   | Catalyst Bancorp, Inc. - common stock    | $71.0M       | 68.9441
 162 | CTAS   | Cintas Corporation                       | $79.16B      | 68.9193
 163 | BIOT   | Instinct Bio Technical Company Holdings  | $10.9M       | 68.8447
 164 | CIFR   | Cipher Digital Inc.                      | $7.68B       | 68.7205
 165 | AFJKR  | Aimei Health Technology Co., Ltd - Right | N/A          | 68.6957
 166 | BSRR   | Sierra Bancorp                           | $529.0M      | 68.6957
 167 | CGCF   | Cartesian Growth Corporation IV          | N/A          | 68.6957
 168 | AMPGZ  | Amplitech Group, Inc. - Series B Right   | N/A          | 68.6957
 169 | CAMT   | Camtek Ltd.                              | $8.02B       | 68.5714
 170 | AXON   | Axon Enterprise, Inc.                    | $49.09B      | 68.5714
 171 | CATY   | Cathay General Bancorp                   | $4.30B       | 68.4224
 172 | BVC    | BitVentures Limited - Ordinary Share     | $2.45B       | 68.1988
 173 | CVBF   | CVB Financial Corporation                | $4.07B       | 68.1988
 174 | CZNC   | Citizens & Northern Corp                 | N/A          | 67.7019
 175 | AMBA   | Ambarella, Inc.                          | $3.45B       | 67.4783
 176 | AGPU   | Axe Compute Inc.                         | $122.1M      | 67.4286
 177 | ACTG   | Acacia Research Corporation              | $456.7M      | 67.3292
 178 | BNAI   | Brand Engagement Network Inc.            | $120.2M      | 67.1801
 179 | BVS    | Bioventus Inc.                           | $1.17B       | 67.1553
 180 | CBSH   | Commerce Bancshares, Inc.                | $8.56B       | 66.6584
 181 | CRNX   | Crinetics Pharmaceuticals, Inc.          | $8.99B       | 66.6087
 182 | BFC    | Bank First Corporation                   | $1.74B       | 66.5839
 183 | ASTC   | Astrotech Corporation                    | $16.4M       | 66.5093
 184 | CMTV   | Community Bancorp.  - Common stock       | $228.8M      | 66.4348
 185 | DBX    | Dropbox, Inc.                            | $7.26B       | 66.4099
 186 | MSFT   | Microsoft Corporation                    | $3566.86B    | 66.3851
 187 | AEVA   | Aeva Technologies, Inc.                  | $1.66B       | 66.2609
 188 | ALNT   | Allient Inc.                             | $1.92B       | 66.2112
 189 | ASRV   | AmeriServ Financial Inc.                 | $89.0M       | 66.1615
 190 | COCO   | The Vita Coco Company, Inc.              | $3.79B       | 66.1366
 191 | CWBC   | Community West Bancshares                | $704.9M      | 65.9627
 192 | CRWD   | CrowdStrike Holdings, Inc.               | $217.81B     | 65.7640
 193 | CZFS   | Citizens Financial Services, Inc.        | $393.9M      | 65.7143
 194 | CEPV   | Cantor Equity Partners V, Inc.           | $329.7M      | 65.5901
 195 | APWC   | Asia Pacific Wire & Cable Corporation Li | $62.3M       | 65.5652
 196 | CRVS   | Corvus Pharmaceuticals, Inc.             | $1.25B       | 65.5404
 197 | AGMB   | AgomAb Therapeutics NV - ADRs representi | $673.7M      | 65.3913
 198 | CADL   | Candel Therapeutics, Inc.                | $891.0M      | 65.3665
 199 | CTSH   | Cognizant Technology Solutions Corporati | $25.50B      | 65.3168
 200 | DHC    | Diversified Healthcare Trust  - Common S | $2.01B       | 65.3168
 201 | BCPC   | Balchem Corporation                      | $5.69B       | 65.1677
 202 | AKTS   | Aktis Oncology, Inc. - Common stock      | $1.37B       | 65.1429
 203 | ASUR   | Asure Software Inc                       | $239.7M      | 65.0186
 204 | BMHL   | Bluemount Holdings Limited               | $149.0M      | 64.8696
 205 | CNXN   | PC Connection, Inc.                      | $1.98B       | 64.7702
 206 | DDOG   | Datadog, Inc.                            | N/A          | 64.6708
 207 | ALOY   | REalloys Inc.                            | $955.8M      | 64.6708
 208 | BRZE   | Braze, Inc.                              | $3.15B       | 64.6211
 209 | CCSI   | Consensus Cloud Solutions, Inc.          | $675.1M      | 64.5963
 210 | ATRO   | Astronics Corporation                    | $4.00B       | 64.5714
 211 | CARL   | Carlsmed, Inc.                           | $376.2M      | 64.0994
 212 | AEMD   | Aethlon Medical, Inc.                    | $1.5M        | 63.9503
 213 | APPS   | Digital Turbine, Inc.                    | $1.48B       | 63.9255
 214 | ALTO   | Alto Ingredients, Inc.                   | $327.3M      | 63.8758
 215 | BOF    | BranchOut Food Inc.                      | $61.4M       | 63.8509
 216 | CLYM   | Climb Bio, Inc.                          | $1.00B       | 63.6770
 217 | BMRC   | Bank of Marin Bancorp                    | $456.0M      | 63.6273
 218 | AUDC   | AudioCodes Ltd.                          | $244.9M      | 63.6273
 219 | CGEM   | Cullinan Therapeutics, Inc.              | $1.27B       | 63.5528
 220 | BANF   | BancFirst Corporation                    | $3.86B       | 63.4783
 221 | CENTA  | Central Garden & Pet Company - Class A C | $2.36B       | 63.3292
 222 | CLMT   | Calumet, Inc                             | $4.25B       | 63.2298
 223 | CCEC   | Capital Clean Energy Carriers Corp. - Co | $1.37B       | 62.9814
 224 | CPB    | The Campbell's Company                   | $6.76B       | 62.9565
 225 | AUR    | Aurora Innovation, Inc.                  | $13.97B      | 62.9565
 226 | BSY    | Bentley Systems, Incorporated            | $10.49B      | 62.9565
 227 | ATLC   | Atlanticus Holdings Corporation          | $1.52B       | 62.9068
 228 | CBUS   | Cibus, Inc.                              | $127.6M      | 62.8571
 229 | BBNX   | Beta Bionics, Inc.                       | $790.0M      | 62.7578
 230 | ADAM   | Adamas Trust, Inc.                       | $909.6M      | 62.7329
 231 | CCNE   | CNB Financial Corporation                | $1.03B       | 62.7081
 232 | CAR    | Avis Budget Group, Inc.                  | $4.99B       | 62.5839
 233 | CODA   | Coda Octopus Group, Inc. - Common stock  | $118.1M      | 62.5590
 234 | DASH   | DoorDash, Inc.                           | $92.69B      | 62.5590
 235 | AMZN   | Amazon.com, Inc.                         | $2818.57B    | 62.4845
 236 | AHMA   | Ambitions Enterprise Management Co. L.L. | $46.7M       | 62.4596
 237 | CART   | Maplebear Inc.                           | $11.31B      | 62.3851
 238 | CDT    | CDT Equity Inc.                          | $2.2M        | 62.2609
 239 | CZR    | Caesars Entertainment, Inc.              | N/A          | 62.0621
 240 | ALLT   | Allot Ltd.                               | $375.7M      | 61.9876
 241 | AEP    | American Electric Power Company, Inc.    | $68.88B      | 61.7888
 242 | AGIO   | Agios Pharmaceuticals, Inc.              | $2.01B       | 61.7391
 243 | CRDO   | Credo Technology Group Holding Ltd       | $52.74B      | 61.7391
 244 | BLFS   | BioLife Solutions, Inc.                  | $1.73B       | 61.7143
 245 | CPIX   | Cumberland Pharmaceuticals Inc.          | $115.1M      | 61.6398
 246 | CNOB   | ConnectOne Bancorp, Inc.                 | $1.65B       | 61.3665
 247 | ALZN   | Alzamend Neuro, Inc.                     | $7.6M        | 61.1677
 248 | CMPS   | COMPASS Pathways Plc                     | $1.90B       | 61.1429
 249 | CFFI   | C&F Financial Corporation                | $279.5M      | 61.0932
 250 | CLWT   | Euro Tech Holdings Company Limited       | $12.3M       | 61.0683
 251 | DIBS   | 1stdibs.com, Inc.                        | N/A          | 61.0683
 252 | AYA    | Aya Gold & Silver Inc.                   | $3.84B       | 60.9938
 253 | ASTI   | Ascent Solar Technologies, Inc           | $32.1M       | 60.9441
 254 | BANL   | CBL International Limited                | $21.9M       | 60.8944
 255 | BCTX   | BriaCell Therapeutics Corp.              | $29.5M       | 60.8199
 256 | AQB    | AquaBounty Technologies, Inc.            | $7.2M        | 60.8199
 257 | DAIO   | Data I/O Corporation                     | $31.9M       | 60.7702
 258 | ARQT   | Arcutis Biotherapeutics, Inc. - Common s | $3.22B       | 60.7205
 259 | AIBZ   | Bitzero Holdings Inc.                    | $353.4M      | 60.6957
 260 | BKNG   | Booking Holdings Inc.                    | $153.85B     | 60.6957
 261 | CRSR   | Corsair Gaming, Inc.                     | $1.32B       | 60.6957
 262 | CAMP   | CAMP4 Therapeutics Corporation           | $313.6M      | 60.4969
 263 | ATRC   | AtriCure, Inc.                           | $2.28B       | 60.4720
 264 | CING   | Cingulate Inc.                           | $70.2M       | 60.3478
 265 | CUE    | Cue Biopharma, Inc.                      | $200.8M      | 60.3478
 266 | ABOS   | Acumen Pharmaceuticals, Inc.             | $192.4M      | 60.2981
 267 | AMGN   | Amgen Inc.                               | $226.88B     | 60.2236
 268 | CHRW   | C.H. Robinson Worldwide, Inc.            | $16.92B      | 60.1491
 269 | ANGH   | Anghami Inc.                             | $32.4M       | 60.0745
 270 | CSAI   | Cloudastructure, Inc.                    | $4.9M        | 59.9752
 271 | COO    | The Cooper Companies, Inc.               | $14.65B      | 59.9255
 272 | CARG   | CarGurus, Inc.                           | $3.19B       | 59.8758
 273 | CHRD   | Chord Energy Corporation                 | $7.82B       | 59.8509
 274 | BYND   | Beyond Meat, Inc. - Common stock         | $200.0M      | 59.8509
 275 | ALHC   | Alignment Healthcare, Inc.               | $2.79B       | 59.7019
 276 | CSTE   | Caesarstone Ltd.                         | $118.6M      | 59.7019
 277 | ABCL   | AbCellera Biologics Inc.                 | $3.43B       | 59.6770
 278 | CXII   | Churchill Capital Corp XII               | $597.7M      | 59.6025
 279 | AROW   | Arrow Financial Corporation              | $719.8M      | 59.5776
 280 | CPSS   | Consumer Portfolio Services, Inc.        | $198.1M      | 59.5528
 281 | AGNC   | AGNC Investment Corp.                    | $12.98B      | 59.5280
 282 | APPN   | Appian Corporation                       | $2.50B       | 59.4534
 283 | CLOV   | Clover Health Investments, Corp.  - Clas | $2.27B       | 59.3540
 284 | APLM   | Apollomics Inc.                          | $68.2M       | 59.3540
 285 | BSIN   | Big Sky Industrial Inc.                  | $74.5M       | 59.2795
 286 | BGDE   | Big Digital Energy, Inc.                 | $41.0M       | 59.2298
 287 | CEPO   | Cantor Equity Partners I, Inc.           | $272.1M      | 59.2050
 288 | AIRT   | Air T, Inc.                              | $74.6M       | 58.9068
